education,experience,industry,skills,jobtitle,location,salary_range,work_hours,company_size,job_type
Master,11,Industrial,Data Analysis,Finance / Banking,Toronto,"$50,000 - $70,000",Contract,Large (501-10000 employees),Administrator
Master,15,Industrial,Problem Solving,Hospitality / Tourism,Paris,"$50,000 - $70,000",Part-time,Enterprise (10000+ employees),Consultant
Master,14,Industrial,Problem Solving,Recruitment / Staffing,London,"$70,000 - $90,000",Part-time,Medium (51-500 employees),Administrator
Master,7,Education,Machine Learning,Media / Entertainment / Internet,Paris,"$130,000 - $150,000",Contract,Medium (51-500 employees),Administrator
PhD,4,Retail,Java,Finance / Banking,Berlin,"$50,000 - $70,000",Contract,Large (501-10000 employees),Analyst
High School,10,IT,Python,Healthcare / Medical Services,Shanghai,"$70,000 - $90,000",Remote,Large (501-10000 employees),Developer
High School,17,Ecommerce,Problem Solving,Education / Teaching,Paris,"$90,000 - $110,000",Contract,Medium (51-500 employees),Developer
Bachelor,15,Finance,Communication,Media / Entertainment / Internet,Berlin,"$90,000 - $110,000",Part-time,Enterprise (10000+ employees),Consultant
Bachelor,8,Media,C++,Retail / Wholesale,Berlin,"$70,000 - $90,000",Part-time,Enterprise (10000+ employees),Consultant
Master,3,IT,Machine Learning,Finance / Banking,Tokyo,"$50,000 - $70,000",Full-time,Enterprise (10000+ employees),Consultant
PhD,10,Retail,Communication,Finance / Banking,New York,"$50,000 - $70,000",Full-time,Enterprise (10000+ employees),Analyst
Master,2,Ecommerce,HTML/CSS,Education / Teaching,Berlin,"$110,000 - $130,000",Contract,Large (501-10000 employees),Consultant
PhD,4,Education,Python,Media / Entertainment / Internet,London,"$130,000 - $150,000",Remote,Medium (51-500 employees),Engineer
Bachelor,3,Industrial,SQL,IT-Software / Software Services,Shanghai,"$130,000 - $150,000",Remote,Medium (51-500 employees),Developer
High School,12,Hospitality,Problem Solving,IT-Software / Software Services,Shanghai,"$70,000 - $90,000",Remote,Medium (51-500 employees),Analyst
Master,15,Finance,Python,Healthcare / Medical Services,London,"$90,000 - $110,000",Contract,Enterprise (10000+ employees),Developer
Bachelor,5,Recruitment,Problem Solving,Industrial Products / Heavy Machinery,New York,"$130,000 - $150,000",Full-time,Large (501-10000 employees),Administrator
Bachelor,16,Ecommerce,Machine Learning,Media / Entertainment / Internet,Tokyo,"$130,000 - $150,000",Part-time,Medium (51-500 employees),Administrator
Bachelor,2,Finance,Python,Media / Entertainment / Internet,Berlin,"$50,000 - $70,000",Full-time,Medium (51-500 employees),Analyst
High School,17,Finance,SQL,Media / Entertainment / Internet,San Francisco,"$130,000 - $150,000",Part-time,Medium (51-500 employees),Designer
Bachelor,3,Ecommerce,Problem Solving,Media / Entertainment / Internet,Toronto,"$130,000 - $150,000",Contract,Small (1-50 employees),Developer
High School,18,Hospitality,Data Analysis,Healthcare / Medical Services,San Francisco,"$110,000 - $130,000",Remote,Enterprise (10000+ employees),Analyst
Master,19,Media,Data Analysis,Media / Entertainment / Internet,Toronto,"$70,000 - $90,000",Remote,Medium (51-500 employees),Designer
Master,8,Healthcare,SQL,Industrial Products / Heavy Machinery,Toronto,"$50,000 - $70,000",Remote,Enterprise (10000+ employees),Consultant
PhD,16,Healthcare,Problem Solving,Healthcare / Medical Services,New York,"$90,000 - $110,000",Full-time,Medium (51-500 employees),Consultant
High School,14,Retail,Problem Solving,Retail / Wholesale,London,"$50,000 - $70,000",Full-time,Enterprise (10000+ employees),Designer
High School,1,Recruitment,Problem Solving,Recruitment / Staffing,Toronto,"$70,000 - $90,000",Part-time,Small (1-50 employees),Engineer
PhD,10,Hospitality,Python,Media / Entertainment / Internet,Toronto,"$90,000 - $110,000",Remote,Enterprise (10000+ employees),Designer
High School,14,Finance,Data Analysis,Media / Entertainment / Internet,New York,"$130,000 - $150,000",Full-time,Small (1-50 employees),Consultant
Master,4,Ecommerce,JavaScript,Education / Teaching,Shanghai,"$130,000 - $150,000",Full-time,Medium (51-500 employees),Administrator
Master,4,Industrial,Problem Solving,Recruitment / Staffing,New York,"$50,000 - $70,000",Part-time,Medium (51-500 employees),Designer
PhD,9,Hospitality,C++,Media / Entertainment / Internet,San Francisco,"$90,000 - $110,000",Part-time,Large (501-10000 employees),Consultant
Master,2,Media,Data Analysis,Hospitality / Tourism,Shanghai,"$110,000 - $130,000",Full-time,Small (1-50 employees),Administrator
PhD,1,Ecommerce,C++,Healthcare / Medical Services,New York,"$110,000 - $130,000",Full-time,Medium (51-500 employees),Manager
PhD,3,Retail,JavaScript,IT-Software / Software Services,Sydney,"$130,000 - $150,000",Part-time,Medium (51-500 employees),Administrator
Master,9,Finance,SQL,Retail / Wholesale,Singapore,"$50,000 - $70,000",Remote,Enterprise (10000+ employees),Manager
Bachelor,9,Finance,SQL,Recruitment / Staffing,Toronto,"$130,000 - $150,000",Contract,Small (1-50 employees),Consultant
Master,13,IT,Machine Learning,Internet / Ecommerce,Tokyo,"$130,000 - $150,000",Contract,Small (1-50 employees),Manager
High School,5,Media,Python,Internet / Ecommerce,Sydney,"$90,000 - $110,000",Part-time,Large (501-10000 employees),Consultant
Bachelor,6,Ecommerce,Data Analysis,Finance / Banking,Singapore,"$90,000 - $110,000",Full-time,Medium (51-500 employees),Engineer
High School,18,Industrial,Java,Internet / Ecommerce,Toronto,"$70,000 - $90,000",Part-time,Small (1-50 employees),Engineer
High School,18,Education,Communication,Finance / Banking,Sydney,"$130,000 - $150,000",Part-time,Medium (51-500 employees),Consultant
High School,14,Healthcare,Python,IT-Software / Software Services,Berlin,"$130,000 - $150,000",Remote,Enterprise (10000+ employees),Manager
PhD,19,Education,Problem Solving,IT-Software / Software Services,San Francisco,"$90,000 - $110,000",Contract,Large (501-10000 employees),Administrator
Bachelor,8,Healthcare,JavaScript,Industrial Products / Heavy Machinery,New York,"$110,000 - $130,000",Part-time,Large (501-10000 employees),Consultant
Master,14,Recruitment,JavaScript,IT-Software / Software Services,London,"$130,000 - $150,000",Remote,Small (1-50 employees),Manager
Bachelor,10,Finance,Problem Solving,Healthcare / Medical Services,Paris,"$90,000 - $110,000",Remote,Medium (51-500 employees),Administrator
PhD,14,Retail,JavaScript,IT-Software / Software Services,Berlin,"$130,000 - $150,000",Remote,Small (1-50 employees),Consultant
Master,10,Recruitment,SQL,Recruitment / Staffing,London,"$110,000 - $130,000",Full-time,Enterprise (10000+ employees),Developer
Master,13,Finance,Java,Internet / Ecommerce,Shanghai,"$70,000 - $90,000",Full-time,Large (501-10000 employees),Designer
High School,6,Retail,Machine Learning,IT-Software / Software Services,Berlin,"$130,000 - $150,000",Part-time,Large (501-10000 employees),Manager
High School,16,Finance,Machine Learning,Retail / Wholesale,Singapore,"$90,000 - $110,000",Part-time,Small (1-50 employees),Engineer
Master,17,Hospitality,C++,Recruitment / Staffing,Singapore,"$130,000 - $150,000",Remote,Medium (51-500 employees),Analyst
Master,8,Media,C++,Industrial Products / Heavy Machinery,New York,"$50,000 - $70,000",Full-time,Small (1-50 employees),Designer
Master,4,IT,Data Analysis,Healthcare / Medical Services,New York,"$50,000 - $70,000",Remote,Enterprise (10000+ employees),Engineer
Bachelor,7,IT,JavaScript,Hospitality / Tourism,London,"$90,000 - $110,000",Remote,Medium (51-500 employees),Manager
Bachelor,5,IT,C++,Healthcare / Medical Services,Berlin,"$130,000 - $150,000",Remote,Medium (51-500 employees),Manager
PhD,12,Healthcare,Machine Learning,Education / Teaching,Singapore,"$90,000 - $110,000",Full-time,Medium (51-500 employees),Administrator
Bachelor,12,Industrial,HTML/CSS,Internet / Ecommerce,Paris,"$90,000 - $110,000",Part-time,Small (1-50 employees),Developer
PhD,1,Hospitality,Problem Solving,Healthcare / Medical Services,Berlin,"$70,000 - $90,000",Part-time,Small (1-50 employees),Administrator
High School,2,Ecommerce,Problem Solving,IT-Software / Software Services,Paris,"$130,000 - $150,000",Part-time,Enterprise (10000+ employees),Analyst
PhD,16,IT,Data Analysis,Retail / Wholesale,Shanghai,"$130,000 - $150,000",Full-time,Large (501-10000 employees),Administrator
Bachelor,15,Industrial,Data Analysis,Hospitality / Tourism,Paris,"$50,000 - $70,000",Part-time,Small (1-50 employees),Developer
Master,2,Healthcare,SQL,Healthcare / Medical Services,Paris,"$50,000 - $70,000",Contract,Small (1-50 employees),Manager
Master,19,Industrial,Java,Healthcare / Medical Services,Sydney,"$90,000 - $110,000",Full-time,Large (501-10000 employees),Manager
Bachelor,19,Healthcare,Machine Learning,Hospitality / Tourism,Singapore,"$130,000 - $150,000",Full-time,Medium (51-500 employees),Administrator
PhD,3,Industrial,Communication,Industrial Products / Heavy Machinery,Paris,"$70,000 - $90,000",Part-time,Medium (51-500 employees),Engineer
Master,13,Healthcare,JavaScript,Education / Teaching,Shanghai,"$90,000 - $110,000",Contract,Small (1-50 employees),Engineer
Bachelor,9,Finance,Python,Retail / Wholesale,Toronto,"$110,000 - $130,000",Contract,Medium (51-500 employees),Administrator
Bachelor,8,Retail,Python,Internet / Ecommerce,Toronto,"$50,000 - $70,000",Full-time,Small (1-50 employees),Developer
Master,2,Media,Problem Solving,Industrial Products / Heavy Machinery,Toronto,"$50,000 - $70,000",Remote,Large (501-10000 employees),Manager
High School,4,Hospitality,Problem Solving,IT-Software / Software Services,San Francisco,"$50,000 - $70,000",Remote,Large (501-10000 employees),Consultant
PhD,8,Hospitality,Problem Solving,Industrial Products / Heavy Machinery,San Francisco,"$130,000 - $150,000",Full-time,Large (501-10000 employees),Manager
PhD,5,Healthcare,HTML/CSS,Finance / Banking,Shanghai,"$130,000 - $150,000",Full-time,Enterprise (10000+ employees),Manager
Master,1,Industrial,SQL,Healthcare / Medical Services,Singapore,"$50,000 - $70,000",Remote,Small (1-50 employees),Developer
Bachelor,2,Education,Python,Internet / Ecommerce,Paris,"$70,000 - $90,000",Remote,Large (501-10000 employees),Consultant
Bachelor,3,IT,Problem Solving,Industrial Products / Heavy Machinery,Paris,"$110,000 - $130,000",Full-time,Large (501-10000 employees),Administrator
High School,18,Finance,Communication,Internet / Ecommerce,Sydney,"$50,000 - $70,000",Contract,Small (1-50 employees),Consultant
PhD,11,Media,Communication,Recruitment / Staffing,San Francisco,"$110,000 - $130,000",Contract,Enterprise (10000+ employees),Designer
PhD,1,Education,C++,Education / Teaching,Berlin,"$90,000 - $110,000",Remote,Large (501-10000 employees),Manager
High School,15,Ecommerce,Python,Retail / Wholesale,London,"$130,000 - $150,000",Part-time,Small (1-50 employees),Manager
Master,11,Media,Communication,IT-Software / Software Services,London,"$110,000 - $130,000",Full-time,Large (501-10000 employees),Manager
Bachelor,8,Healthcare,SQL,Healthcare / Medical Services,San Francisco,"$70,000 - $90,000",Part-time,Medium (51-500 employees),Developer
Master,15,IT,JavaScript,Industrial Products / Heavy Machinery,Singapore,"$110,000 - $130,000",Full-time,Medium (51-500 employees),Analyst
High School,1,Recruitment,Communication,Media / Entertainment / Internet,London,"$50,000 - $70,000",Full-time,Medium (51-500 employees),Administrator
PhD,2,Retail,HTML/CSS,Healthcare / Medical Services,Shanghai,"$90,000 - $110,000",Contract,Medium (51-500 employees),Developer
Bachelor,10,Education,Python,Education / Teaching,London,"$130,000 - $150,000",Full-time,Small (1-50 employees),Engineer
Bachelor,3,Retail,HTML/CSS,Finance / Banking,Toronto,"$90,000 - $110,000",Contract,Small (1-50 employees),Designer
Master,15,IT,HTML/CSS,Internet / Ecommerce,Toronto,"$90,000 - $110,000",Contract,Small (1-50 employees),Engineer
Master,1,Industrial,SQL,Recruitment / Staffing,Toronto,"$70,000 - $90,000",Part-time,Large (501-10000 employees),Consultant
Bachelor,2,Finance,SQL,Internet / Ecommerce,Paris,"$110,000 - $130,000",Contract,Small (1-50 employees),Manager
High School,6,Recruitment,Machine Learning,Internet / Ecommerce,London,"$110,000 - $130,000",Part-time,Enterprise (10000+ employees),Developer
Master,13,IT,Problem Solving,Retail / Wholesale,Shanghai,"$130,000 - $150,000",Part-time,Small (1-50 employees),Manager
High School,4,Ecommerce,Python,Education / Teaching,Paris,"$110,000 - $130,000",Contract,Small (1-50 employees),Analyst
High School,7,Recruitment,Python,Industrial Products / Heavy Machinery,Berlin,"$90,000 - $110,000",Part-time,Large (501-10000 employees),Consultant
Master,1,Finance,Machine Learning,Internet / Ecommerce,London,"$50,000 - $70,000",Contract,Large (501-10000 employees),Administrator
PhD,16,Industrial,Problem Solving,Finance / Banking,Singapore,"$90,000 - $110,000",Full-time,Enterprise (10000+ employees),Analyst
Bachelor,16,Recruitment,Problem Solving,Industrial Products / Heavy Machinery,Tokyo,"$110,000 - $130,000",Part-time,Enterprise (10000+ employees),Engineer
High School,15,Hospitality,Data Analysis,Education / Teaching,Toronto,"$70,000 - $90,000",Part-time,Medium (51-500 employees),Engineer
PhD,19,Healthcare,JavaScript,IT-Software / Software Services,San Francisco,"$90,000 - $110,000",Part-time,Enterprise (10000+ employees),Administrator
Bachelor,16,Finance,Java,Recruitment / Staffing,Berlin,"$130,000 - $150,000",Full-time,Enterprise (10000+ employees),Consultant
PhD,9,Education,JavaScript,Recruitment / Staffing,London,"$110,000 - $130,000",Part-time,Large (501-10000 employees),Analyst
High School,2,Industrial,Java,Recruitment / Staffing,Toronto,"$50,000 - $70,000",Full-time,Large (501-10000 employees),Engineer
High School,14,IT,C++,Industrial Products / Heavy Machinery,Sydney,"$70,000 - $90,000",Contract,Large (501-10000 employees),Administrator
High School,18,Education,Java,Recruitment / Staffing,Shanghai,"$50,000 - $70,000",Contract,Enterprise (10000+ employees),Engineer
PhD,7,Retail,HTML/CSS,IT-Software / Software Services,Paris,"$70,000 - $90,000",Full-time,Medium (51-500 employees),Engineer
Bachelor,2,IT,Java,Hospitality / Tourism,London,"$90,000 - $110,000",Contract,Enterprise (10000+ employees),Engineer
High School,18,Recruitment,Python,Finance / Banking,Tokyo,"$70,000 - $90,000",Remote,Enterprise (10000+ employees),Developer
PhD,13,Hospitality,HTML/CSS,Retail / Wholesale,Singapore,"$110,000 - $130,000",Full-time,Small (1-50 employees),Administrator
Bachelor,2,Ecommerce,Java,Recruitment / Staffing,Berlin,"$110,000 - $130,000",Part-time,Small (1-50 employees),Consultant
Bachelor,6,Education,Machine Learning,Internet / Ecommerce,San Francisco,"$70,000 - $90,000",Remote,Enterprise (10000+ employees),Analyst
PhD,13,Industrial,Python,Hospitality / Tourism,Tokyo,"$50,000 - $70,000",Part-time,Medium (51-500 employees),Designer
Master,15,Recruitment,Communication,Media / Entertainment / Internet,Toronto,"$90,000 - $110,000",Full-time,Enterprise (10000+ employees),Administrator
PhD,12,Industrial,Problem Solving,Media / Entertainment / Internet,Singapore,"$50,000 - $70,000",Contract,Enterprise (10000+ employees),Analyst
PhD,7,Ecommerce,HTML/CSS,Education / Teaching,Paris,"$110,000 - $130,000",Part-time,Small (1-50 employees),Engineer
Master,13,Hospitality,SQL,Internet / Ecommerce,Shanghai,"$130,000 - $150,000",Part-time,Medium (51-500 employees),Manager
Bachelor,14,Recruitment,C++,Education / Teaching,New York,"$90,000 - $110,000",Contract,Small (1-50 employees),Manager
Bachelor,16,Industrial,JavaScript,Hospitality / Tourism,Paris,"$70,000 - $90,000",Part-time,Large (501-10000 employees),Manager
High School,12,Healthcare,SQL,Internet / Ecommerce,Shanghai,"$90,000 - $110,000",Remote,Medium (51-500 employees),Analyst
Bachelor,8,IT,C++,Education / Teaching,Shanghai,"$130,000 - $150,000",Remote,Medium (51-500 employees),Consultant
Bachelor,17,Ecommerce,HTML/CSS,Education / Teaching,Paris,"$130,000 - $150,000",Full-time,Enterprise (10000+ employees),Manager
Bachelor,2,IT,Java,Industrial Products / Heavy Machinery,New York,"$130,000 - $150,000",Part-time,Medium (51-500 employees),Engineer
High School,9,Hospitality,JavaScript,Hospitality / Tourism,Berlin,"$130,000 - $150,000",Contract,Small (1-50 employees),Consultant
PhD,10,Retail,Problem Solving,Healthcare / Medical Services,San Francisco,"$70,000 - $90,000",Remote,Enterprise (10000+ employees),Administrator
PhD,15,Retail,HTML/CSS,Retail / Wholesale,Singapore,"$70,000 - $90,000",Remote,Enterprise (10000+ employees),Consultant
PhD,4,IT,Python,Industrial Products / Heavy Machinery,Singapore,"$50,000 - $70,000",Part-time,Enterprise (10000+ employees),Designer
High School,12,Industrial,Data Analysis,Education / Teaching,San Francisco,"$90,000 - $110,000",Contract,Small (1-50 employees),Analyst
Bachelor,16,Media,JavaScript,Industrial Products / Heavy Machinery,Paris,"$110,000 - $130,000",Part-time,Large (501-10000 employees),Analyst
High School,15,Education,Java,Healthcare / Medical Services,Shanghai,"$110,000 - $130,000",Full-time,Large (501-10000 employees),Analyst
High School,19,Industrial,Problem Solving,Media / Entertainment / Internet,Shanghai,"$90,000 - $110,000",Contract,Small (1-50 employees),Designer
High School,13,Recruitment,Java,IT-Software / Software Services,Berlin,"$90,000 - $110,000",Contract,Large (501-10000 employees),Consultant
Master,3,Education,Data Analysis,Internet / Ecommerce,New York,"$50,000 - $70,000",Part-time,Large (501-10000 employees),Engineer
PhD,15,IT,Machine Learning,IT-Software / Software Services,Paris,"$110,000 - $130,000",Part-time,Medium (51-500 employees),Designer
Master,17,Hospitality,Data Analysis,Hospitality / Tourism,Shanghai,"$90,000 - $110,000",Contract,Large (501-10000 employees),Consultant
Bachelor,6,Industrial,Data Analysis,Education / Teaching,Toronto,"$50,000 - $70,000",Part-time,Enterprise (10000+ employees),Designer
PhD,15,Education,SQL,Recruitment / Staffing,London,"$50,000 - $70,000",Remote,Enterprise (10000+ employees),Manager
Master,8,IT,JavaScript,IT-Software / Software Services,Shanghai,"$110,000 - $130,000",Part-time,Enterprise (10000+ employees),Developer
Master,16,Media,Data Analysis,Finance / Banking,Sydney,"$70,000 - $90,000",Contract,Enterprise (10000+ employees),Manager
Master,8,Media,Data Analysis,Finance / Banking,San Francisco,"$90,000 - $110,000",Part-time,Large (501-10000 employees),Consultant
Master,6,IT,Data Analysis,Recruitment / Staffing,Shanghai,"$70,000 - $90,000",Contract,Small (1-50 employees),Designer
Master,12,Recruitment,Data Analysis,Healthcare / Medical Services,San Francisco,"$130,000 - $150,000",Remote,Small (1-50 employees),Manager
Bachelor,18,IT,SQL,Finance / Banking,Tokyo,"$110,000 - $130,000",Part-time,Enterprise (10000+ employees),Manager
High School,6,Industrial,Python,Retail / Wholesale,Singapore,"$110,000 - $130,000",Full-time,Medium (51-500 employees),Engineer
High School,1,Media,Communication,Hospitality / Tourism,Singapore,"$90,000 - $110,000",Part-time,Large (501-10000 employees),Administrator
Master,13,Ecommerce,Machine Learning,Education / Teaching,Paris,"$110,000 - $130,000",Contract,Enterprise (10000+ employees),Designer
Master,14,Education,JavaScript,Retail / Wholesale,Sydney,"$50,000 - $70,000",Remote,Medium (51-500 employees),Manager
High School,10,Retail,SQL,Hospitality / Tourism,London,"$110,000 - $130,000",Full-time,Medium (51-500 employees),Designer
Bachelor,4,Finance,Python,Education / Teaching,San Francisco,"$130,000 - $150,000",Part-time,Large (501-10000 employees),Designer
Master,3,Recruitment,C++,Retail / Wholesale,Berlin,"$130,000 - $150,000",Full-time,Enterprise (10000+ employees),Analyst
PhD,1,Recruitment,C++,Hospitality / Tourism,Singapore,"$110,000 - $130,000",Part-time,Large (501-10000 employees),Developer
High School,4,Recruitment,JavaScript,Retail / Wholesale,Singapore,"$130,000 - $150,000",Part-time,Medium (51-500 employees),Analyst
Bachelor,17,Media,Java,Finance / Banking,Sydney,"$70,000 - $90,000",Part-time,Small (1-50 employees),Engineer
PhD,13,Education,Problem Solving,Healthcare / Medical Services,New York,"$70,000 - $90,000",Part-time,Small (1-50 employees),Analyst
High School,7,Healthcare,SQL,Finance / Banking,Berlin,"$110,000 - $130,000",Full-time,Large (501-10000 employees),Manager
Master,18,Industrial,Problem Solving,Industrial Products / Heavy Machinery,New York,"$70,000 - $90,000",Part-time,Medium (51-500 employees),Designer
Master,4,IT,Communication,Hospitality / Tourism,Toronto,"$90,000 - $110,000",Contract,Small (1-50 employees),Developer
High School,5,Retail,Problem Solving,IT-Software / Software Services,New York,"$90,000 - $110,000",Remote,Small (1-50 employees),Analyst
Bachelor,17,Retail,Python,Industrial Products / Heavy Machinery,Berlin,"$50,000 - $70,000",Full-time,Large (501-10000 employees),Developer
PhD,5,Retail,Python,Media / Entertainment / Internet,Berlin,"$90,000 - $110,000",Part-time,Small (1-50 employees),Consultant
High School,1,Hospitality,Java,Healthcare / Medical Services,Tokyo,"$90,000 - $110,000",Contract,Small (1-50 employees),Consultant
Bachelor,12,Industrial,HTML/CSS,Education / Teaching,Shanghai,"$50,000 - $70,000",Remote,Small (1-50 employees),Manager
Master,2,Industrial,Python,Media / Entertainment / Internet,Paris,"$70,000 - $90,000",Part-time,Medium (51-500 employees),Developer
Bachelor,2,Ecommerce,SQL,Recruitment / Staffing,London,"$90,000 - $110,000",Contract,Small (1-50 employees),Engineer
Bachelor,19,Healthcare,Python,Recruitment / Staffing,Tokyo,"$130,000 - $150,000",Full-time,Medium (51-500 employees),Engineer
Bachelor,6,Retail,Java,Recruitment / Staffing,London,"$110,000 - $130,000",Remote,Medium (51-500 employees),Administrator
Master,7,Healthcare,Problem Solving,Finance / Banking,Berlin,"$50,000 - $70,000",Remote,Large (501-10000 employees),Developer
High School,14,Media,JavaScript,Industrial Products / Heavy Machinery,San Francisco,"$90,000 - $110,000",Contract,Small (1-50 employees),Engineer
High School,19,Hospitality,HTML/CSS,Healthcare / Medical Services,Sydney,"$90,000 - $110,000",Contract,Enterprise (10000+ employees),Administrator
High School,11,Recruitment,JavaScript,Media / Entertainment / Internet,Sydney,"$90,000 - $110,000",Full-time,Large (501-10000 employees),Analyst
Bachelor,10,Finance,Python,Education / Teaching,Berlin,"$70,000 - $90,000",Remote,Medium (51-500 employees),Manager
Bachelor,6,Healthcare,Data Analysis,Education / Teaching,Singapore,"$50,000 - $70,000",Contract,Medium (51-500 employees),Manager
High School,2,Retail,Communication,Retail / Wholesale,San Francisco,"$90,000 - $110,000",Full-time,Enterprise (10000+ employees),Developer
Master,4,Ecommerce,Communication,Retail / Wholesale,Tokyo,"$70,000 - $90,000",Remote,Medium (51-500 employees),Engineer
Bachelor,18,Retail,JavaScript,IT-Software / Software Services,Sydney,"$50,000 - $70,000",Remote,Large (501-10000 employees),Developer
Master,15,IT,Problem Solving,Recruitment / Staffing,Berlin,"$110,000 - $130,000",Full-time,Enterprise (10000+ employees),Designer
PhD,14,Finance,SQL,Retail / Wholesale,San Francisco,"$90,000 - $110,000",Part-time,Medium (51-500 employees),Analyst
High School,5,Retail,JavaScript,Industrial Products / Heavy Machinery,Toronto,"$90,000 - $110,000",Part-time,Medium (51-500 employees),Engineer
Master,2,Industrial,Communication,IT-Software / Software Services,Sydney,"$110,000 - $130,000",Remote,Medium (51-500 employees),Engineer
PhD,13,Ecommerce,JavaScript,Media / Entertainment / Internet,Tokyo,"$50,000 - $70,000",Remote,Small (1-50 employees),Administrator
Master,1,Media,Data Analysis,Healthcare / Medical Services,San Francisco,"$90,000 - $110,000",Part-time,Enterprise (10000+ employees),Developer
Master,11,Recruitment,HTML/CSS,Education / Teaching,Sydney,"$90,000 - $110,000",Remote,Large (501-10000 employees),Analyst
Master,11,Industrial,C++,Hospitality / Tourism,Tokyo,"$50,000 - $70,000",Remote,Medium (51-500 employees),Consultant
PhD,4,Healthcare,Machine Learning,Internet / Ecommerce,Tokyo,"$50,000 - $70,000",Remote,Medium (51-500 employees),Administrator
Bachelor,5,Retail,Problem Solving,Hospitality / Tourism,San Francisco,"$70,000 - $90,000",Full-time,Large (501-10000 employees),Developer
High School,10,Media,SQL,Retail / Wholesale,London,"$130,000 - $150,000",Contract,Large (501-10000 employees),Analyst
High School,15,Industrial,Problem Solving,Hospitality / Tourism,Tokyo,"$90,000 - $110,000",Part-time,Small (1-50 employees),Designer
Bachelor,7,IT,JavaScript,Hospitality / Tourism,Singapore,"$110,000 - $130,000",Contract,Medium (51-500 employees),Developer
High School,5,Education,Java,Finance / Banking,New York,"$110,000 - $130,000",Full-time,Large (501-10000 employees),Engineer
PhD,5,IT,Data Analysis,Industrial Products / Heavy Machinery,Toronto,"$90,000 - $110,000",Part-time,Large (501-10000 employees),Analyst
Master,18,Healthcare,SQL,Education / Teaching,Singapore,"$130,000 - $150,000",Full-time,Small (1-50 employees),Engineer
Bachelor,17,Hospitality,Problem Solving,Industrial Products / Heavy Machinery,San Francisco,"$50,000 - $70,000",Part-time,Enterprise (10000+ employees),Designer
Bachelor,6,IT,Data Analysis,Finance / Banking,Paris,"$110,000 - $130,000",Full-time,Enterprise (10000+ employees),Engineer
Master,11,Finance,HTML/CSS,Hospitality / Tourism,Singapore,"$130,000 - $150,000",Full-time,Medium (51-500 employees),Administrator
Bachelor,9,Healthcare,Problem Solving,IT-Software / Software Services,Sydney,"$50,000 - $70,000",Full-time,Large (501-10000 employees),Manager
Bachelor,19,IT,Java,Finance / Banking,Sydney,"$50,000 - $70,000",Remote,Enterprise (10000+ employees),Consultant
High School,1,Hospitality,HTML/CSS,Healthcare / Medical Services,Shanghai,"$130,000 - $150,000",Part-time,Large (501-10000 employees),Developer
Master,1,Recruitment,Problem Solving,IT-Software / Software Services,Sydney,"$110,000 - $130,000",Part-time,Medium (51-500 employees),Administrator
Bachelor,6,Ecommerce,Java,IT-Software / Software Services,Tokyo,"$50,000 - $70,000",Full-time,Medium (51-500 employees),Consultant
High School,14,Industrial,JavaScript,Healthcare / Medical Services,New York,"$110,000 - $130,000",Full-time,Medium (51-500 employees),Analyst
